City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Kibala,TD,75.15,few clouds,9.1104,18.3463,hotel safari
275,Port Alfred,ZA,77.86,broken clouds,-33.5906,26.891,The Halyards Hotel
276,Sri Aman,MY,80.65,light intensity shower rain,1.2376,111.4621,Seri Simanggang Hotel
277,Mitsamiouli,KM,80.89,light rain,-11.3847,43.2844,Foyer ADM
278,Hami,CN,78.24,few clouds,42.8,93.45,Laoyutang Resort
282,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
285,Lorengau,PG,82.69,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
286,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
292,Harper,LR,76.69,light rain,4.375,-7.7169,Screensaver
295,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
296,Nabire,ID,81.16,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
299,Nichinan,JP,86.95,scattered clouds,31.6,131.3667,Guest House Aki
301,Udhampur,IN,81.07,clear sky,32.9333,75.1333,Hotel Singh Axis
303,Katsuura,JP,86.11,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
305,Plettenberg Bay,ZA,75.67,broken clouds,-34.0527,23.3716,Thanda Vista B&B
306,Fethiye,TR,75.07,clear sky,36.6217,29.1164,Club & Hotel Letoonia
309,Tateyama,JP,86.02,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
312,Nelson Bay,AU,76.77,clear sky,-32.7167,152.15,Mantra Nelson Bay
319,Fare,PF,77.36,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
322,Hirado,JP,83.55,overcast clouds,33.3597,129.5531,Samson Hotel
325,Iwakuni,JP,83.71,broken clouds,34.15,132.1833,Iwakuni Kokusai Kanko Hotel
335,Gorontalo,ID,79.02,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
336,Humaita,BR,76.57,broken clouds,-7.5061,-63.0208,Corrêa Hotel
340,Khash,IR,87.48,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
342,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
343,Ipilan,PH,83.37,overcast clouds,8.8431,117.9033,Brookes Inn
347,San Patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
350,Champerico,GT,80.73,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
353,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
358,Prainha,BR,75.92,scattered clouds,-1.8,-53.48,Casa Rocha
359,Sabha,LY,85.69,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
362,Umm Lajj,SA,87.66,clear sky,25.0213,37.2685,Moon light Furnished Units
364,Dingle,PH,85.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
366,Alto Araguaia,BR,75.58,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
367,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
370,Mwense,ZM,81.75,overcast clouds,-10.3845,28.698,Mwense Council Guest House
372,Gushikawa,JP,87.03,scattered clouds,26.3544,127.8686,Kirari Guest House
384,Jalu,LY,88.3,clear sky,29.0331,21.5482,صاحبة الفخامة
387,Sao Miguel Do Araguaia,BR,85.14,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
390,Kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
394,Monrovia,LR,76.44,light rain,6.3005,-10.7969,Sunset Inn
